Zeit;Verbrauch
2024-09-08 00:00:00;0,0
2024-09-08 01:00:00;0,0
2024-09-08 02:00:00;0,0
2024-09-08 03:00:00;0,0
2024-09-08 04:00:00;0,0
2024-09-08 05:00:00;0
2024-09-08 06:00:00;0,081
2024-09-08 07:00:00;0,49
2024-09-08 08:00:00;0,75
2024-09-08 09:00:00;0,85
2024-09-08 10:00:00;0,82
2024-09-08 11:00:00;0,61
2024-09-08 12:00:00;0,33
2024-09-08 13:00:00;0,32
2024-09-08 14:00:00;0,29
2024-09-08 15:00:00;0,29
2024-09-08 16:00:00;0,11
2024-09-08 17:00:00;0,06
2024-09-08 18:00:00;0,0
2024-09-08 19:00:00;0,0
2024-09-08 20:00:00;0,0
2024-09-08 21:00:00;0,0
2024-09-08 22:00:00;0,0
2024-09-08 23:00:00;0,0
