Datum;Kostal
2025-09-01;19,07
2025-09-02;11,15
2025-09-03;9,01
2025-09-04;16,1
2025-09-05;15,61
2025-09-06;8,05
2025-09-07;17,34
2025-09-08;16,71
2025-09-09;12,66
2025-09-10;6,09
2025-09-11;7,94
2025-09-12;4,24
2025-09-13;3,68
2025-09-14;13,17
2025-09-15;10,06
2025-09-16;16,2
2025-09-17;11,13
2025-09-18;13,19
2025-09-19;15,12
2025-09-20;15,96
2025-09-21;14,18
2025-09-22;14,33
2025-09-23;2,3
2025-09-24;4,72
2025-09-25;3,12
2025-09-26;6,71
2025-09-27;12,46
2025-09-28;5,71
2025-09-29;12,56
2025-09-30;12,3
