entity_id,state,last_changed
sensor.kostal_kwh,1.292,2026-07-10T07:00:00.000Z
sensor.kostal_kwh,1.3,2026-07-10T07:00:31.722Z
sensor.kostal_kwh,1.283,2026-07-10T07:01:32.056Z
sensor.kostal_kwh,1.278,2026-07-10T07:02:32.428Z
sensor.kostal_kwh,1.274,2026-07-10T07:03:32.745Z
sensor.kostal_kwh,1.2630000000000001,2026-07-10T07:04:33.131Z
sensor.kostal_kwh,1.2550000000000001,2026-07-10T07:05:33.431Z
sensor.kostal_kwh,1.244,2026-07-10T07:06:34.059Z
sensor.kostal_kwh,1.234,2026-07-10T07:07:34.384Z
sensor.kostal_kwh,1.226,2026-07-10T07:08:34.699Z
sensor.kostal_kwh,1.217,2026-07-10T07:09:35.102Z
sensor.kostal_kwh,1.218,2026-07-10T07:11:35.805Z
sensor.kostal_kwh,1.196,2026-07-10T07:12:36.115Z
sensor.kostal_kwh,1.229,2026-07-10T07:13:36.433Z
sensor.kostal_kwh,1.196,2026-07-10T07:14:36.822Z
sensor.kostal_kwh,1.254,2026-07-10T07:15:37.152Z
sensor.kostal_kwh,2.12,2026-07-10T07:16:37.454Z
sensor.kostal_kwh,2.726,2026-07-10T07:17:37.866Z
sensor.kostal_kwh,2.749,2026-07-10T07:18:38.182Z
sensor.kostal_kwh,2.761,2026-07-10T07:19:38.556Z
sensor.kostal_kwh,2.767,2026-07-10T07:20:38.866Z
sensor.kostal_kwh,2.775,2026-07-10T07:21:39.185Z
sensor.kostal_kwh,2.7760000000000002,2026-07-10T07:22:39.573Z
sensor.kostal_kwh,2.779,2026-07-10T07:23:39.891Z
sensor.kostal_kwh,2.7840000000000003,2026-07-10T07:24:40.210Z
sensor.kostal_kwh,2.783,2026-07-10T07:25:40.593Z
sensor.kostal_kwh,2.79,2026-07-10T07:26:40.901Z
sensor.kostal_kwh,2.793,2026-07-10T07:27:41.281Z
sensor.kostal_kwh,2.801,2026-07-10T07:29:41.906Z
sensor.kostal_kwh,2.813,2026-07-10T07:30:42.300Z
sensor.kostal_kwh,2.816,2026-07-10T07:31:42.636Z
sensor.kostal_kwh,2.821,2026-07-10T07:32:42.940Z
sensor.kostal_kwh,2.825,2026-07-10T07:33:43.311Z
sensor.kostal_kwh,2.833,2026-07-10T07:34:43.616Z
sensor.kostal_kwh,2.834,2026-07-10T07:35:43.990Z
sensor.kostal_kwh,2.836,2026-07-10T07:36:49.317Z
sensor.kostal_kwh,2.841,2026-07-10T07:38:50.016Z
sensor.kostal_kwh,2.842,2026-07-10T07:39:50.329Z
sensor.kostal_kwh,2.847,2026-07-10T07:41:50.976Z
sensor.kostal_kwh,2.853,2026-07-10T07:42:51.279Z
sensor.kostal_kwh,2.847,2026-07-10T07:43:51.682Z
sensor.kostal_kwh,2.85,2026-07-10T07:44:51.988Z
sensor.kostal_kwh,2.856,2026-07-10T07:45:52.307Z
sensor.kostal_kwh,2.858,2026-07-10T07:46:52.693Z
sensor.kostal_kwh,2.863,2026-07-10T07:47:53.009Z
sensor.kostal_kwh,2.864,2026-07-10T07:48:53.317Z
sensor.kostal_kwh,2.865,2026-07-10T07:50:54.015Z
sensor.kostal_kwh,2.859,2026-07-10T07:51:54.423Z
sensor.kostal_kwh,2.864,2026-07-10T07:52:54.760Z
sensor.kostal_kwh,2.869,2026-07-10T07:54:55.437Z
sensor.kostal_kwh,2.873,2026-07-10T07:55:55.754Z
sensor.kostal_kwh,2.88,2026-07-10T07:56:56.061Z
sensor.kostal_kwh,2.884,2026-07-10T07:57:56.415Z
sensor.kostal_kwh,2.8850000000000002,2026-07-10T07:58:56.734Z
sensor.kostal_kwh,2.8890000000000002,2026-07-10T08:01:02.462Z
sensor.kostal_kwh,2.888,2026-07-10T08:02:02.782Z
sensor.kostal_kwh,2.8890000000000002,2026-07-10T08:03:03.184Z
sensor.kostal_kwh,2.898,2026-07-10T08:04:03.495Z
sensor.kostal_kwh,2.902,2026-07-10T08:05:03.878Z
sensor.kostal_kwh,2.899,2026-07-10T08:06:04.190Z
sensor.kostal_kwh,2.902,2026-07-10T08:07:04.508Z
sensor.kostal_kwh,2.912,2026-07-10T08:08:04.896Z
sensor.kostal_kwh,2.924,2026-07-10T08:09:05.209Z
sensor.kostal_kwh,2.926,2026-07-10T08:10:05.528Z
sensor.kostal_kwh,2.928,2026-07-10T08:11:05.935Z
sensor.kostal_kwh,2.934,2026-07-10T08:12:06.256Z
sensor.kostal_kwh,2.9370000000000003,2026-07-10T08:13:06.641Z
sensor.kostal_kwh,2.936,2026-07-10T08:16:12.667Z
sensor.kostal_kwh,2.944,2026-07-10T08:17:12.980Z
sensor.kostal_kwh,2.9410000000000003,2026-07-10T08:18:13.339Z
sensor.kostal_kwh,2.938,2026-07-10T08:19:13.654Z
sensor.kostal_kwh,2.944,2026-07-10T08:20:13.980Z
sensor.kostal_kwh,2.947,2026-07-10T08:21:14.378Z
sensor.kostal_kwh,2.943,2026-07-10T08:22:14.715Z
sensor.kostal_kwh,2.95,2026-07-10T08:23:20.025Z
sensor.kostal_kwh,2.952,2026-07-10T08:24:20.433Z
sensor.kostal_kwh,2.957,2026-07-10T08:25:20.741Z
sensor.kostal_kwh,2.954,2026-07-10T08:26:21.106Z
sensor.kostal_kwh,2.952,2026-07-10T08:27:21.409Z
sensor.kostal_kwh,2.948,2026-07-10T08:28:21.709Z
sensor.kostal_kwh,2.94,2026-07-10T08:29:22.080Z
sensor.kostal_kwh,2.938,2026-07-10T08:30:22.388Z
sensor.kostal_kwh,2.944,2026-07-10T08:31:22.708Z
sensor.kostal_kwh,2.936,2026-07-10T08:35:24.078Z
sensor.kostal_kwh,2.942,2026-07-10T08:36:24.387Z
sensor.kostal_kwh,2.948,2026-07-10T08:37:24.773Z
sensor.kostal_kwh,2.955,2026-07-10T08:38:25.088Z
sensor.kostal_kwh,2.954,2026-07-10T08:39:25.404Z
sensor.kostal_kwh,2.949,2026-07-10T08:40:25.819Z
sensor.kostal_kwh,2.946,2026-07-10T08:41:26.131Z
sensor.kostal_kwh,2.943,2026-07-10T08:42:26.448Z
sensor.kostal_kwh,2.9410000000000003,2026-07-10T08:43:31.801Z
sensor.kostal_kwh,2.9330000000000003,2026-07-10T08:45:32.494Z
sensor.kostal_kwh,2.938,2026-07-10T08:46:32.807Z
sensor.kostal_kwh,2.943,2026-07-10T08:47:33.148Z
sensor.kostal_kwh,2.938,2026-07-10T08:48:33.486Z
sensor.kostal_kwh,2.943,2026-07-10T08:49:33.796Z
sensor.kostal_kwh,2.942,2026-07-10T08:50:34.101Z
sensor.kostal_kwh,2.9370000000000003,2026-07-10T08:51:34.502Z
sensor.kostal_kwh,2.932,2026-07-10T08:52:34.826Z
