Monat;Gesamt kWh
2023-04;514,815
2023-05;548,321
2023-06;685,983
2023-07;633,288
2023-08;450,246
2023-09;475,185
2023-10;131,335
2023-11;0,532
2023-12;0,482
2024-01;0,439
2024-02;0,354
2024-03;0,529
2024-04;0,295
2024-05;789,321
2024-06;554,704
2024-07;652,602
2024-08;602,181
2024-09;400,082
2024-10;203,235
2024-11;129,861
2024-12;93,085
2025-01;142,289
2025-02;144,195
2025-03;372,899
2025-04;590,291
2025-05;569,883
2025-06;693,561
2025-07;540,296
2025-08;489,517
2025-09;344,907
2025-10;237,291
2025-11;166,271
2025-12;85,511
2026-01;103,09
2026-02;173,287
2026-03;346,752
2026-04;519,733
2026-05;511,72
2026-06;105,88
