Tag;Gesamt kWh
2013-08-04;21,77
2013-08-05;24,729
2013-08-06;24,209
2013-08-07;14,74
2013-08-08;11,44
2013-08-09;2,409
2013-08-10;25,35
2013-08-11;24,351
2013-08-12;23,399
2013-08-13;16,501
2013-08-14;25,308
2013-08-15;24,14
2013-08-16;22,68
2013-08-17;22,928
2013-08-18;22,431
2013-08-19;4,98
2013-08-20;23,58
2013-08-21;23,231
2013-08-22;23,29
2013-08-23;20,621
2013-08-24;11,76
2013-08-27;9,771
2013-08-28;7,23
2013-09-03;15,019
2013-09-04;20,16
2013-09-05;19,649
2013-09-06;19,07
2013-09-07;19,1
2013-09-08;5,789
2013-09-09;12,26
2013-09-10;1,829
2013-09-11;7,999
2013-09-12;4,789
2013-09-13;10,249
2013-09-14;11,07
2013-09-15;7,92
2013-09-16;2,891
2013-09-17;13,15
2013-09-18;9,369
2013-09-19;11,431
2013-09-20;9,659
2013-09-21;17,029
2013-09-22;16,79
2013-09-23;17,121
2013-09-24;15,449
2013-09-25;16,279
2013-09-26;3,591
2013-09-27;8,591
2013-09-28;13,741
2013-09-29;4,259
2013-09-30;2,3
2013-10-01;5,461
2013-10-02;11,25
2013-10-03;8,42
2013-10-04;8,66
2013-10-05;4,991
2013-10-06;4,64
2013-10-07;2,58
2013-10-08;3,698
2013-10-09;4,521
2013-10-10;0,941
2013-10-11;13,031
2013-10-12;6,251
2013-10-13;13,501
2013-10-14;10,278
2013-10-15;8,16
2013-10-16;8,591
2013-10-17;11,13
2013-10-18;12,181
2013-10-19;11,599
2013-10-20;6,12
2013-10-21;10,24
2013-10-22;11,002
2013-10-23;1,75
2013-10-24;10,84
2013-10-25;7,469
2013-10-26;9,26
2013-10-27;2,798
2013-10-28;10,219
2013-10-29;2,99
2013-10-30;9,469
2013-10-31;4,281
2013-11-01;5,448
2013-11-02;6,36
2013-11-03;5,079
2013-11-04;5,98
2013-11-05;5,93
2013-11-06;0,86
2013-11-07;10,782
2013-11-08;8,99
2013-11-09;2,92
2013-11-10;1,501
2013-11-11;4,629
2013-11-12;7,909
2013-11-13;4,259
2013-11-14;0,669
2013-11-15;3,269
2013-11-16;1,92
2013-11-17;2,22
2013-11-18;3,24
2013-11-19;0,669
2013-11-20;1,859
2013-11-21;2,92
2013-11-22;2,549
2013-11-23;1,019
2013-11-24;0,46
2013-11-25;8,39
2013-11-26;4,609
2013-11-27;6,19
2013-11-28;4,071
2013-11-29;7,129
2013-11-30;2,891
2013-12-01;7,181
2013-12-02;7,11
2013-12-03;2,72
2013-12-04;3,672
2013-12-05;6,011
2013-12-06;2,57
